patient,feature,perm_mean,perm_std,perm_rank,gain_norm
Pt4,peaks_gt_0.1max,0.012624282313401559,0.003937339752557747,3,0.021436255837934376
Pt4,peaks_gt_0.2max,0.0,0.0,30,0.0005056012876609403
Pt4,peaks_gt_0.3max,0.0,0.0,29,0.0012847732193982094
Pt4,peaks_gt_0.5max,-0.0007772020725388629,0.000634582834917924,39,0.0012791694567233774
Pt4,autocorr_1,0.0,0.0,27,0.004862177355466185
Pt4,autocorr_5,0.0,0.0,26,0.004739582284652439
Pt4,autocorr_10,0.0,0.0,24,0.00385776896393726
Pt4,autocorr_20,-0.0002590673575129543,0.0009693412919103509,37,0.007976442198050333
Pt4,autocorr_50,0.0010922839938384056,0.002876325351806342,20,0.008882000139256127
Pt4,autocorr_100,0.00805209354432157,0.00081924291714207,4,0.009919543171288474
Pt4,spectral_entropy,0.0,0.0,22,0.002082573556976845
Pt4,spectral_centroid,0.0,0.0,25,0.0018239809991445867
Pt4,median_freq,0.0,0.0,34,0.000860941256358735
Pt4,dominant_freq,0.0012953367875647714,0.00480673828070844,17,0.0074273743367205625
Pt4,bandpower_16_40,-0.0012953367875647714,0.0011585844443004133,41,0.008226783107817175
Pt4,bandpower_40_80,0.0,0.0,36,0.005224681107862107
Pt4,bandpower_80_125,0.0012953367875647714,0.0,18,0.006617097926271282
Pt4,bandpower_125_250,0.0027027027027027193,0.0033101212740313424,10,0.008190671648682446
Pt4,bandpower_250_500,0.013716566307239941,0.005266113817777347,2,0.024383494675462192
Pt4,hf_lf_ratio,0.0,0.0,35,0.0021039093306859545
Pt4,veryhf_ratio,-0.0007772020725388629,0.0010362694300518173,40,0.006968163818835293
Pt4,teager_mean_abs,0.0,0.0,33,0.003574186553244015
Pt4,teager_std,0.004628203332866576,0.002367857920478362,7,0.007040762630712192
Pt5,mean,0.0,0.0,24,0.004431254259197927
Pt5,std,-0.0023809523809523946,0.023987430570964145,27,0.2037890491563549
Pt5,rms,-0.023809523809523836,0.0,39,0.08929596292122212
Pt5,ptp,0.05476190476190477,0.05701871435632401,1,0.4007512251759732
Pt5,max_abs,0.0,0.0,16,0.009502260452463033
Pt5,median_abs,0.0047619047619047675,0.009523809523809535,9,0.005100152546067832
Pt5,abs_q75,0.04761904761904765,0.02129588549999802,2,0.006661334502653192
Pt5,abs_q90,0.0,0.0,15,0.005717799030997817
Pt5,abs_q95,0.030952380952380974,0.021756746288687005,5,0.020868849741414754
Pt5,abs_q99,-0.02142857142857142,0.015338212769910854,38,0.08261829795645975
Pt5,mad,0.0,0.0,10,0.0
Pt5,skew,-0.014285714285714301,0.0116642368703961,35,0.009262293249433591
Pt5,kurtosis,0.0,0.0,11,0.002673255516111279
Pt5,line_length,0.03571428571428574,0.016409581847726475,3,0.010608835295150243
Pt5,mean_abs_diff,0.033333333333333326,0.011664236870396045,4,0.011296077044556088
Pt5,std_diff,-0.023809523809523836,0.0,40,0.0008490392049776918
Pt5,max_abs_diff,-0.023809523809523836,0.0,41,0.007640715644377469
Pt5,zero_cross_rate,-0.0047619047619047675,0.009523809523809535,30,0.0019667164464374593
Pt5,hjorth_mobility,-0.0047619047619047675,0.009523809523809535,29,0.0034613526398793288
Pt5,hjorth_complexity,-0.009523809523809535,0.0116642368703961,32,0.0026066003047887838
Pt5,peaks_gt_0.1max,-0.014285714285714301,0.0116642368703961,34,0.028141888280939206
Pt5,peaks_gt_0.2max,-0.01904761904761907,0.009523809523809535,37,0.0004837175301685954
Pt5,peaks_gt_0.3max,0.0,0.0,23,0.0010416456094260195
Pt5,peaks_gt_0.5max,0.0,0.0,13,0.00043865546412376864
Pt5,autocorr_1,-0.01904761904761907,0.009523809523809535,36,0.006474832676298257
Pt5,autocorr_5,0.0,0.0,17,0.0009661331503800192
Pt5,autocorr_10,-0.009523809523809535,0.0116642368703961,31,0.0036867419197585917
Pt5,autocorr_20,0.0,0.0,12,0.002943512564096936
Pt5,autocorr_50,0.014285714285714301,0.0116642368703961,6,0.0080913244156757
Pt5,autocorr_100,0.0,0.0,18,0.008781685430873577
Pt5,spectral_entropy,0.0,0.0,19,0.0011529418450534536
Pt5,spectral_centroid,0.0,0.0,14,0.001161077283917751
Pt5,median_freq,0.0,0.0,21,0.0013452892720427578
Pt5,dominant_freq,-0.0047619047619047675,0.009523809523809535,28,0.005335167529005066
Pt5,bandpower_16_40,0.0,0.0,22,0.0043773166218200295
Pt5,bandpower_40_80,0.014285714285714301,0.011664236870396099,7,0.004762317272823959
